2018-10-16 16:09:57,312 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo:com.daojia.haobo.web.creater:0.0.1-SNAPSHOT @ E:\www\one\aicircle_creater\pom.xml.
2018-10-16 16:09:57,446 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.resume.contract:0.0.1-SNAPSHOT @ E:\www\one\aicircle_dsf_resume_contract\pom.xml.
2018-10-16 16:09:57,454 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia:daojia.suyun.dao:jar:2.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:57,459 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.protocol:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:57,737 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.resume.service:0.0.1-SNAPSHOT @ E:\www\one\aicircle_dsf_resume_service\pom.xml.
2018-10-16 16:09:57,775 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.bj58.spat:com.bj58.spat.utility:jar:3.5.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:57,799 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.bj58.spat:com.bj58.spat.memcachedclient:jar:2.1.2 is missing, no dependency information available
2018-10-16 16:09:57,967 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat.dtracker:dtracker-client:jar:1.0.0-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:57,970 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.server:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:57,972 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.client:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,024 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.common.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,207 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo:aicircle_web:0.0.1-SNAPSHOT @ E:\www\one\aicircle_web\pom.xml.
2018-10-16 16:09:58,209 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:com.daojia.dwf.mvc:jar:0.2.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,214 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dao:jar:1.0.7-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,217 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:dwfapi-annotations:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,250 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.bst.hbase:com.daojia.bst.hbase.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,253 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat.dos:dos-client:jar:1.0.5-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,255 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia:dos-ext-client:jar:0.0.3-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,257 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.djedis:jar:2.0.0-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,259 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-frame:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:09:58,263 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-base:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:00,701 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_creater/src/main/java
2018-10-16 16:10:00,702 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /aicircle_creater/src/main/resources
2018-10-16 16:10:00,703 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_creater/src/test/java
2018-10-16 16:10:01,552 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_web/src/main/java
2018-10-16 16:10:01,552 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /aicircle_web/src/main/resources
2018-10-16 16:10:01,553 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_web/src/test/java
2018-10-16 16:10:03,266 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:com.daojia.dwf.mvc:jar:0.2.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,269 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dao:jar:1.0.7-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,272 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:dwfapi-annotations:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,281 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.bst.hbase:com.daojia.bst.hbase.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,284 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.common.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,286 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.client:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,289 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.protocol:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,292 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat.dos:dos-client:jar:1.0.5-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,295 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia:dos-ext-client:jar:0.0.3-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,297 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.djedis:jar:2.0.0-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,300 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-frame:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,303 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-base:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:03,362 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_dsf_resume_service/src/main/java
2018-10-16 16:10:03,378 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /aicircle_dsf_resume_service/src/test/java
